	generated_poem
0	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
di nanninaco
palenalanai man’are di pa do i dign aro na a dusi i tona ve è co na tonori ana pi: ola ero pe le........».. gnosi vo
ore uto le fa gi
da pa se, gnogna fi: ve vi..
i..
e.."
1	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
ve mami de le i i pe gi late sco idedane lubi se e, e
marite ul’o: fo dinaleschi e a pe ale co cri fali sulalo te cescal’al’e no ’i pri.... se ma......
da col’o, a
pe
a nara, na, i, t"
2	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
e pa, dero i mate i iserero fi siscodio cora a pavesapi cavi vi fi co, anonometo ci di èvi me. luse ne pi fi: sca pi le pàufèala ase gno fori....... **STANZA_BREAK** 
 
 e gi uone ca ve
ce me pòsci.
e e t"
3	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
sede aure ispi davi i ve falanorarela gino, sima scare me qudro...... **STANZA_BREAK** 
 
 ti do uleli surauràilute se....
l’ fute quri... ceri pe sédi: na, pe sche, bove
te gi di.........
vi, ti, i gi, s"
4	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
si si acure putareridino fi tra no cocave sioprori, e ti ca ali se gnauli atorala qurori co pi frea lù vi do
pe i se fosa pa pre da se fro sca di de, pole
pi a de ugni, fa cha di: cho"
5	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
tedi lave pa ri èa musstò o a cosi mali pe fare ale di se, si le...
ti: e
ti
lai ani era vo ave more
ci, pe pi fi aci doscuri rate **STANZA_BREAK** 
 
 ton’a detà ura ame ve be pe fale re, si ti, l che pe"
6	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
li e a...... o dogio e na gi ane
tì osora ’ palino le gne sio.... **STANZA_BREAK** 
 
 ube o tie suto momi pa osocose be chi ri ulo magi a pove e fèro **STANZA_BREAK** 
 
 pi: dagnona e una se, pali te i gi c’a gi li.... **STANZA_BREAK** 
 
 cone"
7	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
di, la: e e da me vili a rioregiunaparo
è ghauduno ana lali..... **STANZA_BREAK** 
 
 di co ave pe, amasti e vena, lui
do se na fi: sci r’odò
pe pà mavi tera; fi, chopi pebe e sci, le d’ vi de èro?.
sché’"
8	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
corino che ffi si; tri maleri ovene ne pitorunara
de e li vi
fe anocalal’orarà a bi amai e pate qusci ci fe, mana sci elati
e pi ly, ba qumove torananananorodi pa cra, ci vi me scoror"
9	"<BOS>nonna mia parla sempre de le stole
 der tempo suo su le finestre umane.
voge;
de ce sogi sonna aco se vina ase l’ paca ced’ scalinovi l’ala, gi;
scuscosa ma sali ale i; di pri ve dana te, fi na ve pi lata li da; pa cuci i fi pa qucano................
la v"
